,Coefficients
func_dec: xpcs,0.49134400929113164
func_dec: TxRxSelect,0.4912614246113563
func_dec: rsxx,0.49089579795489985
func_dec: nd,0.4907771286576545
func_dec: CGROUP,0.4900256410279893
func_dec: acceleration,0.4898367147842388
func_dec: moderation,0.48957550177582043
func_dec: sink,0.4892546784580996
func_dec: odev,0.4890002181382037
func_dec: AutoLoadFail,0.48870167914012
func_dec: rdb,0.4875588534654689
func_dec: gfn,0.48624723052003493
func_dec: intmask,0.48612531102288203
func_dec: l4,0.4855912135555978
func_dec: critical,0.4845380441750167
func_dec: orangefs,0.4834822201871346
func_dec: bgx,0.4830460148471729
func_dec: lmac,0.4830460148471729
func_dec: VOID,0.4823297851894831
func_dec: analog,0.4822537947940035
func_dec: cfg80211,0.48154679025636804
func_dec: rsv,0.4804241485870653
func_dec: ipwireless,0.4789257910891609
func_dec: ipw,0.4789257910891609
func_dec: mac802154,0.4779606329904606
func_dec: inv,0.47751671120354444
func_dec: vx,0.47742782082985946
func_dec: rsb,0.47703813999126327
func_dec: hal,0.4761409026143151
func_dec: test,0.47483820189826365
func_dec: x86,0.4734587878959368
func_dec: property,0.4727325533044839
func_dec: dr,0.4720681053175669
func_dec: usage,0.4711550475736641
func_dec: explicit,0.47052735601291723
func_dec: vivid,0.4698038617573735
func_dec: s,0.46835101252355105
func_dec: unused,0.46807193135648556
func_dec: early,0.46782872017914784
func_dec: cpuid,0.4662924302424952
func_dec: interface,0.4651820383865389
func_dec: petp,0.4628329748070411
func_dec: tree,0.46275991305878494
func_dec: rpf,0.46189972935279683
func_dec: dirty,0.46147011978512537
func_dec: cause,0.4604334377091059
func_dec: grp,0.4600564241803972
func_dec: container,0.45953253249169734
func_dec: tr,0.4592178025313452
func_dec: hpriv,0.4589524862036652
func_dec: soft,0.45891280352830743
func_dec: stream,0.4580921066060351
func_dec: m2m,0.4579856212390469
func_dec: xa,0.45600118502464193
func_dec: sliced,0.45565856069063704
func_dec: rxh,0.4550969385751887
func_dec: d11rxhdr,0.4550969385751887
func_dec: jpeg,0.45387157762089364
func_dec: ignore,0.45362085079924647
func_dec: equal,0.45284043117918465
func_dec: gvt,0.4525842144494432
func_dec: skx,0.4522738917268341
func_dec: isEncrypt,0.4504611822121933
func_dec: eeprom,0.4498466821616626
func_dec: nodelist,0.44936014871508034
func_dec: QueryRFReg,0.4479452597448376
func_dec: emac,0.446635545240189
func_dec: rf69,0.44638856141222577
func_dec: msr,0.4459066752044416
func_dec: hdev,0.44493180905452795
func_dec: oper,0.44457499140061857
func_dec: one,0.44431129809781933
func_dec: instr,0.44346195137929756
func_dec: alternative,0.44346195137929756
func_dec: cut,0.44332807515415074
func_dec: pc,0.4428413634963691
func_dec: loader,0.44248118562188643
func_dec: phys,0.4423644260158234
func_dec: dvobj,0.44195338768469433
func_dec: handler,0.44177686605525746
func_dec: csd,0.4415672939506494
func_dec: rmi,0.44102968339096504
func_dec: brcmf,0.44021811799374716
func_dec: mplane,0.43873819865628744
func_dec: dmabuf,0.4381722756333654
func_dec: fmode,0.4378443688691966
func_dec: wwn,0.43762692902269323
func_dec: et,0.43749890559898486
func_dec: ll,0.4374804717993432
func_dec: bulk,0.437189553545654
func_dec: ddc,0.43639443027072855
func_dec: reply,0.43620182442762534
func_dec: semaphore,0.4360930258303932
func_dec: ca,0.4355681812860402
func_dec: st21nfca,0.43498840603158667
func_dec: counter,0.4347106618069203
func_dec: l3type,0.4330382429773882
func_dec: eRFPath,0.43272387352098274
func_dec: ADDBARsp,0.4322823541876444
func_dec: slabinfo,0.43226386410545864
func_dec: xlgmac,0.43216242486270634
func_dec: ALL,0.4320260420301331
func_dec: RAID,0.4320260420301331
func_dec: DRV,0.4320260420301331
func_dec: MR,0.4320260420301331
func_dec: padattr,0.43071572346079634
func_dec: 64bit,0.43071572346079634
func_dec: iomap,0.43027451131094174
func_dec: nvbios,0.42896690962628853
func_dec: virtqueue,0.42877329720417195
func_dec: srb,0.42853730617513947
func_dec: dec,0.42844616651934
func_dec: curve,0.42782989073981015
func_dec: wol,0.4277483064744005
func_dec: endif,0.4277337199455387
func_dec: recv,0.4274542919118802
func_dec: ofs,0.42574958802938406
func_dec: video,0.425526152490418
func_dec: cyapa,0.42546348190954464
func_dec: fname,0.42444117957534083
func_dec: most,0.4236743994400592
func_dec: truncate,0.42338951791670254
func_dec: ifindex,0.42333820209370754
func_dec: vrr,0.4230472107674804
func_dec: nid,0.421884668977646
func_dec: dctx,0.4217824002374083
func_dec: mic,0.4206219630011833
func_dec: de,0.418976312465491
func_dec: cid,0.41885289309904467
func_dec: mcfg,0.4182941631125044
func_dec: iwpm,0.41778385921984185
func_dec: sgdma,0.41770576003537163
func_dec: flash,0.41739168908424557
func_dec: ndigits,0.41727301168081904
func_dec: apbridgea,0.41706440892837576
func_dec: cpudl,0.417034137084759
func_dec: ramcfg,0.415906241619968
func_dec: hsdev,0.41480173626791234
func_dec: dentry,0.41476900671455574
func_dec: caller,0.41153807469773007
func_dec: route,0.4112813236803108
func_dec: posix,0.410886265014761
func_dec: adpt,0.4103498040782094
func_dec: regbase,0.4099486834914933
func_dec: guc,0.40951556834744735
func_dec: stype,0.4088826940584178
func_dec: filename,0.4085954260967743
func_dec: supply,0.4073738645762375
func_dec: agblock,0.40637033991302096
func_dec: vgpu,0.4059762601977556
func_dec: filblks,0.4055662970432787
func_dec: mlme,0.40525270049452666
func_dec: plane,0.4048158268716244
func_dec: nsp,0.4039892447887125
func_dec: time,0.40289951139929087
func_dec: gt,0.40174986829487774
func_dec: forward,0.4009772263525628
func_dec: sdhci,0.4002661034634158
func_dec: invalidate,0.4002615058721712
func_dec: assoc,0.3998490155668595
func_dec: fbcon,0.39977779070130337
func_dec: rtl8188e,0.3997464167735704
func_dec: fcs,0.39969708461233433
func_dec: pframe,0.39943127119410915
func_dec: onoff,0.39906666481747005
func_dec: adtc,0.3985878356698094
func_dec: hdrc,0.3979095224225529
func_dec: gpct,0.39767381510129296
func_dec: mxm,0.3974854755133075
func_dec: sli,0.3971189490771474
func_dec: pi,0.3968395373381311
func_dec: srcimp,0.39598081620360687
func_dec: pvr2,0.39588391030092135
func_dec: wkspSize,0.39567952150388874
func_dec: com,0.39491961919780705
func_dec: ena,0.39491961919780705
func_dec: ppi,0.39420658043420537
func_dec: ufdev,0.3941385670719503
func_dec: par,0.3927652112789275
func_dec: flowi,0.39186582801995923
func_dec: msk,0.3915074693544876
func_dec: id,0.3914974543632897
func_dec: bw,0.391150520409064
